"","group","s__Actinomyces_graevenitzii","s__Rothia_mucilaginosa","s__Collinsella_aerofaciens","s__Bacteroides_coprocola","s__Bacteroides_dorei","s__Bacteroides_plebeius","s__Butyricimonas_synergistica","s__Parabacteroides_goldsteinii","s__Porphyromonas_gingivalis","s__Alloprevotella_unclassified","s__Paraprevotella_clara","s__Prevotella_copri","s__Prevotella_histicola","s__Prevotella_melaninogenica","s__Prevotella_pallens","s__Gemella_haemolysans","s__Lactobacillus_crispatus","s__Lactobacillus_salivarius","s__Streptococcus_downei","s__Clostridium_asparagiforme","s__Pseudoflavonifractor_capillosus","s__Eubacterium_limosum","s__Coprococcus_eutactus","s__Oribacterium_sinus","s__Catenibacterium_mitsuokai","s__Erysipelotrichaceae_bacterium_2_2_44A","s__Anaeroglobus_geminatus","s__Megamonas_funiformis","s__Fusobacterium_mortiferum","s__Sutterella_wadsworthensis","s__Aeromonas_veronii","s__Klebsiella_unclassified","s__Aggregatibacter_aphrophilus","cluster"
"50","0",0,0.00226,1.42547,0,0.11005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91162,0,0,0,0,0,0,0,0,0,0,2
"51","0",0,0.00757,0.70597,0,1.14931,0,0,0,0,0,0,0,0,0,0,0.00322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"52","1",0,0,1.05761,0,1.08502,0,0,1.5058,0,0,0.01385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01241,0.00194,0,0,0,0,0,0,0,2
"53","1",0,0,3.95536,0,0.75142,0,0,0,0,0,0.40816,0,0,0,0,0,0,0,0,0,0.0034,0,0,0,1.05344,0,0,0,0,0.3337,0,0,0.02526,1
"54","0",0,0,0.48033,0,2.48604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06516,0.03891,0,0,0,0,0.00728,0,0,0,0,0,0,0,2
"55","1",0,0,0.9274,0,0.38734,0,0,0,0,0,0,0,0,0,0,0,0,0.00111,0,0.00021,0.03349,0,18.21071,0,0,0,0,0,0,0.00073,0,0,0,2
"56","1",0,0.00502,2.05243,0.3272,1.00919,0.00171,0,0,0,0.00447,0,45.5008,0,0,0,0,0,0,0,0,0.006,0,0,0,2.15511,0.00032,0,0,0,0.00347,0,0,0,1
"57","0",0,0.00535,10.49847,0,0.15977,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,0.03277,0.12686,0,0,0,0,0.00136,0,0,0,0.02119,0,0,0,2
"58","1",0.00228,0,4.36384,0,3.67695,2.8919,0,0,0,0,0.68041,3.91108,0,0,0,0,0,0,0,0,0.06703,0,0,0,0,0.00348,0,0,0,0,0,0,0,1
"59","0",0,0,1.0255,0.17878,0.54076,0,0,0,0,0,0,0,0,0,0,0.00885,0,0,0,0,0.00302,0,0,0,0,0,0,0,0,3.25614,0,0,0,1
"60","1",0,0.00118,0.2052,0,2.97005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129,0,0,0,0,0,0,0,0,0,0,0,0,2
"61","0",0,3e-04,0.73833,0,3.67593,0,0,0,0,0,0,31.09127,0,0,0,0,0,0,0,0,0.00585,0,0,0,0.00155,0,0,0,0,0.00448,0,0,0,2
"62","0",0,0.00386,1.70103,0,1.65825,0,0,0,0,0,0,4.09455,0,0,0,0,0,0,0,0,0.12237,0,0,0,0.0048,0,0,0,0,0,0,0,0,2
"63","0",0,0,0,0,1.09804,0,0,0.05324,0,0,0,0,0,0,0,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,2
"64","0",0,0.01117,4.85029,0,1.14832,0.01322,0,0,0,0,0,0.0573,0,0,0,0,0,0,0,0.09647,0.05685,0,0,0,0.00049,0,0,0,0,0,0,0,0,2
"65","0",0,0.00697,1.47467,0,0.091,0,0,0.00097,0,0,0.21001,0.11578,0,0,0,0,0,0,0,0,0.01807,0,0,0,0,0.00083,0,0,0,0.069,0,0,0,1
"66","1",0,0.01592,0,0,0.50215,0,0.00045,0,0,0,0,0,0,0,0,0,0,0.00085,0,0.00493,0.01185,0,0,0,0,0,0,0,0,0,0,0,0,2
"67","1",0,0.01677,0,0,2.23145,0,0.0014,0.02966,0,0,0,0,0,0,0,0.00105,0,0,0,0.0162,0.01419,0,0,0.00599,0,0.00168,0,0,0,0,0,0,0,2
"68","1",0,0.09263,1.31853,0,0.29557,0,0.00083,0,0,0,0.10925,0,0,0,0,0,0,0,0,0.00649,0.02335,0,0.83639,0,0,0.00091,0,0,0,0,0,0.00434,0,2
"69","0",0,0,1.55809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02318,0,0,0,0,0.02667,0,0,0,0.69102,0,0,0,2
"70","0",0,0.0178,0,0,0.03404,6.21307,0,0,0,0,0,22.70694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00279,0,0.01384,0,1
"71","0",0,0,1.70925,0,0.32021,0,0,0,0,0,0,0.00189,0,0,0,0,0,0,0,0,0.00086,0,0,0,0,0,0,0,0,0.91984,0,0,0,2
"72","0",0,0.00726,3.21322,0,5.85814,0,0,0,0,0,0.2928,0.04453,0,0,0,0,0,0,0,0,0.02694,0,0,0,0,0.00088,0,0,0,1.15512,0,0,0,1
